CouncilDistrict,year,Month,not_cleared,cleared,other,tba
7,2007,August,9.78,15.77,5.20,69.25
10,2007,August,9.83,16.32,3.49,70.36
4,2007,August,9.90,26.00,5.59,58.51
8,2007,August,8.84,20.94,1.62,68.59
5,2007,August,11.06,20.02,3.48,65.44
2,2007,August,17.30,19.63,3.78,59.29
6,2007,August,12.58,25.81,3.55,58.06
,2007,August,11.57,36.76,4.11,47.56
9,2007,September,9.58,41.52,2.35,46.55
7,2007,September,8.81,17.32,5.43,68.44
5,2007,September,14.33,21.50,5.80,58.36
2,2007,September,14.61,22.53,3.84,59.02
4,2007,September,8.80,27.76,5.52,57.92
1,2007,September,15.41,23.44,9.59,51.56
6,2007,September,9.94,25.00,3.92,61.14
10,2007,September,8.36,15.99,3.90,71.75
3,2007,September,15.04,31.72,4.47,48.77
8,2007,September,7.47,12.57,2.75,77.21
,2007,September,13.45,42.02,3.08,41.46
4,2007,October,9.16,27.92,5.62,57.30
1,2007,October,15.21,24.98,7.88,51.93
2,2007,October,15.24,19.78,5.89,59.09
5,2007,October,12.50,22.59,2.75,62.16
,2007,October,13.97,36.44,5.21,44.38
3,2007,October,15.31,33.41,4.31,46.98
9,2007,October,7.21,37.15,2.53,53.10
8,2007,October,11.23,19.60,1.76,67.40
7,2007,October,9.49,16.52,3.91,70.09
10,2007,October,8.49,16.80,2.90,71.81
6,2007,October,8.81,21.07,5.66,64.47
9,2007,November,6.49,39.21,2.11,52.19
4,2007,November,10.28,27.27,5.39,57.07
3,2007,November,13.59,34.91,4.07,47.43
1,2007,November,16.00,26.38,6.89,50.72
7,2007,November,10.19,16.98,3.28,69.56
5,2007,November,12.52,21.00,4.17,62.31
2,2007,November,15.66,22.31,3.03,59.00
,2007,November,13.33,41.00,3.33,42.33
8,2007,November,10.58,12.38,4.19,72.85
10,2007,November,9.49,13.87,3.28,73.36
6,2007,November,10.33,21.28,3.65,64.74
10,2007,December,7.12,12.50,2.08,78.30
7,2007,December,8.89,19.54,4.17,67.40
3,2007,December,13.06,29.14,4.80,53.00
4,2007,December,9.28,22.75,5.53,62.44
1,2007,December,14.33,23.41,8.40,53.86
2,2007,December,14.14,19.50,3.23,63.12
6,2007,December,15.70,18.02,2.03,64.24
9,2007,December,7.66,33.48,2.50,56.36
5,2007,December,12.81,16.25,3.20,67.73
8,2007,December,8.61,13.37,2.75,75.27
,2007,December,9.90,37.62,4.95,47.52
4,2008,January,10.00,30.66,5.42,53.92
1,2008,January,15.82,29.45,7.91,46.82
3,2008,January,14.19,34.97,3.27,47.57
7,2008,January,9.27,20.94,5.58,64.21
9,2008,January,9.77,39.70,1.49,49.04
6,2008,January,14.64,24.59,4.97,55.80
2,2008,January,15.69,23.35,4.28,56.68
10,2008,January,11.07,19.81,2.91,66.21
,2008,January,10.92,41.38,6.03,41.67
5,2008,January,14.29,22.61,5.29,57.82
8,2008,January,13.41,18.64,3.64,64.32
3,2008,February,11.11,34.97,4.12,49.80
9,2008,February,8.05,41.58,1.63,48.74
1,2008,February,13.34,29.81,9.13,47.72
4,2008,February,9.92,30.68,4.86,54.53
2,2008,February,15.21,21.89,3.71,59.18
7,2008,February,9.78,21.05,4.10,65.07
5,2008,February,11.40,21.62,3.92,63.06
,2008,February,10.14,40.54,4.39,44.93
10,2008,February,10.84,18.67,3.01,67.47
6,2008,February,11.49,26.35,3.04,59.12
8,2008,February,10.32,15.18,1.82,72.67
3,2008,March,14.12,33.55,3.77,48.56
7,2008,March,11.06,21.05,5.05,62.84
4,2008,March,10.20,24.74,6.54,58.52
2,2008,March,14.70,20.97,3.49,60.84
1,2008,March,14.13,20.54,8.71,56.61
9,2008,March,8.00,37.60,2.36,52.04
5,2008,March,11.71,20.22,2.96,65.10
6,2008,March,15.29,21.47,3.24,60.00
10,2008,March,9.43,16.39,2.87,71.31
8,2008,March,11.58,18.56,3.19,66.67
,2008,March,11.37,33.44,3.34,51.84
4,2008,April,11.67,30.09,4.54,53.70
1,2008,April,13.17,25.13,7.87,53.83
2,2008,April,17.27,20.56,3.70,58.47
3,2008,April,12.41,35.02,3.70,48.88
5,2008,April,9.36,20.40,2.79,67.45
9,2008,April,8.05,36.56,1.54,53.85
7,2008,April,13.14,23.24,4.63,58.99
,2008,April,9.39,41.88,3.25,45.49
10,2008,April,9.31,17.59,3.28,69.83
8,2008,April,10.00,15.11,3.19,71.70
6,2008,April,8.82,25.16,3.59,62.42
7,2008,May,12.39,22.44,3.55,61.62
9,2008,May,7.21,40.79,1.38,50.62
4,2008,May,11.72,28.25,5.77,54.26
3,2008,May,12.44,33.87,3.95,49.75
1,2008,May,13.58,25.71,7.62,53.08
2,2008,May,16.16,23.70,4.27,55.87
10,2008,May,11.61,19.58,3.81,64.99
5,2008,May,13.89,20.46,3.17,62.47
6,2008,May,14.93,25.92,5.35,53.80
8,2008,May,10.38,12.39,1.64,75.59
,2008,May,11.16,38.02,3.31,47.52
3,2008,June,13.91,30.86,4.01,51.22
4,2008,June,11.87,26.00,5.98,56.15
9,2008,June,8.68,36.63,2.11,52.59
2,2008,June,19.03,18.28,3.67,59.02
1,2008,June,14.46,24.68,9.35,51.51
7,2008,June,15.44,19.00,4.44,61.11
5,2008,June,12.53,21.81,3.36,62.30
8,2008,June,12.65,19.67,3.51,64.17
10,2008,June,9.28,17.42,3.79,69.51
,2008,June,13.85,32.31,4.62,49.23
6,2008,June,15.43,26.72,2.48,55.37
10,2008,July,10.54,19.09,2.78,67.59
1,2008,July,13.65,23.79,7.53,55.03
4,2008,July,13.13,27.16,5.20,54.50
2,2008,July,15.79,21.00,3.10,60.12
6,2008,July,14.39,25.71,3.07,56.84
3,2008,July,13.60,32.63,4.73,49.03
7,2008,July,12.81,21.13,4.38,61.69
5,2008,July,12.19,20.75,2.93,64.13
9,2008,July,6.76,35.59,1.63,56.02
8,2008,July,13.43,15.74,4.17,66.67
,2008,July,11.11,40.00,3.33,45.56
2,2008,August,15.32,20.82,3.93,59.94
4,2008,August,12.44,29.79,6.24,51.53
5,2008,August,19.89,20.34,2.70,57.08
1,2008,August,17.52,24.24,7.81,50.44
3,2008,August,15.49,33.44,4.10,46.97
9,2008,August,8.84,40.31,1.69,49.16
7,2008,August,14.97,21.77,3.06,60.20
8,2008,August,18.25,17.06,2.58,62.10
10,2008,August,12.59,17.88,2.55,66.97
,2008,August,15.68,33.05,1.69,49.58
6,2008,August,12.09,24.43,3.53,59.95
9,2008,September,11.98,43.39,1.88,42.74
4,2008,September,18.03,26.83,4.83,50.30
1,2008,September,19.12,26.62,6.96,47.30
3,2008,September,18.91,32.95,3.53,44.61
7,2008,September,19.19,20.65,5.16,54.99
8,2008,September,27.33,15.40,3.04,54.23
2,2008,September,16.05,22.23,3.85,57.87
5,2008,September,25.43,19.59,4.01,50.97
10,2008,September,15.44,19.03,3.05,62.48
6,2008,September,13.85,20.13,4.55,61.47
,2008,September,19.51,36.59,2.44,41.46
4,2008,October,22.70,29.11,5.60,42.59
3,2008,October,28.13,33.05,3.81,35.00
9,2008,October,21.19,36.30,2.84,39.66
10,2008,October,25.94,14.51,2.39,57.17
1,2008,October,29.02,23.88,7.29,39.81
2,2008,October,21.70,23.71,3.30,51.29
7,2008,October,29.57,16.12,4.41,49.90
5,2008,October,37.51,18.64,2.70,41.15
,2008,October,19.51,36.59,4.39,39.51
6,2008,October,26.70,26.20,2.52,44.58
8,2008,October,46.68,18.51,1.61,33.20
2,2008,November,53.21,24.61,3.31,18.87
9,2008,November,42.20,38.29,2.59,16.91
1,2008,November,44.35,29.40,7.56,18.69
7,2008,November,53.80,21.59,3.86,20.75
4,2008,November,45.93,30.15,4.57,19.36
3,2008,November,44.61,39.91,4.25,11.23
,2008,November,31.01,39.87,1.90,27.22
5,2008,November,55.14,19.64,2.73,22.50
10,2008,November,63.65,18.27,2.75,15.32
8,2008,November,64.76,16.14,2.12,16.99
6,2008,November,53.05,26.79,1.86,18.30
1,2008,December,46.70,26.81,7.89,18.60
9,2008,December,51.84,36.65,1.92,9.59
2,2008,December,59.41,21.16,3.73,15.70
10,2008,December,69.36,15.05,1.47,14.13
7,2008,December,61.53,20.87,3.39,14.21
4,2008,December,44.79,32.33,4.91,17.98
5,2008,December,61.71,17.85,3.49,16.95
3,2008,December,50.42,33.39,5.15,11.04
6,2008,December,53.68,29.90,1.72,14.71
,2008,December,36.72,26.56,7.03,29.69
8,2008,December,62.83,16.37,2.65,18.14
4,2009,January,45.90,29.19,3.82,21.09
1,2009,January,41.04,29.52,6.88,22.56
2,2009,January,57.37,23.44,4.01,15.17
7,2009,January,61.35,19.88,3.61,15.16
5,2009,January,60.64,20.66,2.71,15.99
3,2009,January,47.44,36.70,3.94,11.92
6,2009,January,53.86,23.38,3.34,19.42
8,2009,January,62.29,19.58,1.67,16.46
10,2009,January,64.01,18.24,3.15,14.59
9,2009,January,50.18,37.40,1.43,10.99
1,2009,February,41.18,29.28,6.79,22.75
3,2009,February,48.34,37.82,4.01,9.83
4,2009,February,45.52,30.75,4.38,19.35
5,2009,February,61.75,18.68,2.54,17.03
2,2009,February,58.93,24.32,3.93,12.82
9,2009,February,45.91,41.63,1.30,11.16
7,2009,February,59.91,22.05,4.13,13.92
6,2009,February,60.67,22.02,2.02,15.28
10,2009,February,70.22,15.63,2.02,12.13
8,2009,February,62.16,20.15,1.72,15.97
,2009,February,33.96,24.53,7.55,33.96
4,2009,March,47.82,27.77,4.26,20.15
7,2009,March,60.24,20.68,3.50,15.58
1,2009,March,46.44,26.89,6.47,20.20
3,2009,March,51.94,32.49,4.14,11.43
5,2009,March,60.34,19.29,3.00,17.36
9,2009,March,50.33,37.33,1.44,10.90
2,2009,March,61.80,24.37,2.95,10.88
8,2009,March,62.85,18.38,2.37,16.40
10,2009,March,68.16,19.83,2.75,9.26
6,2009,March,60.43,22.17,3.70,13.70
,2009,March,37.50,27.08,2.08,33.33
4,2009,April,52.67,28.17,4.18,14.99
3,2009,April,53.10,30.40,4.35,12.14
5,2009,April,59.81,20.22,3.49,16.49
10,2009,April,67.09,21.04,3.06,8.81
1,2009,April,50.49,26.07,7.42,16.02
9,2009,April,48.53,39.77,1.63,10.07
2,2009,April,60.78,25.62,3.66,9.94
7,2009,April,65.11,18.35,2.23,14.32
,2009,April,42.11,24.56,NULL,33.33
8,2009,April,67.84,14.32,2.49,15.35
6,2009,April,59.58,22.43,1.87,16.12
3,2009,May,50.79,33.21,5.21,10.78
1,2009,May,51.50,27.63,7.18,13.68
7,2009,May,60.49,23.09,2.44,13.98
9,2009,May,50.86,36.22,1.63,11.29
8,2009,May,63.01,18.58,1.77,16.64
2,2009,May,62.89,23.66,4.08,9.37
5,2009,May,61.71,17.21,2.81,18.27
4,2009,May,53.66,29.91,4.39,12.04
10,2009,May,69.93,15.56,2.62,11.89
6,2009,May,64.87,20.56,2.59,11.98
2,2009,June,64.31,21.05,2.75,11.90
8,2009,June,63.22,18.09,1.99,16.70
9,2009,June,52.14,33.04,1.41,13.41
6,2009,June,64.21,20.86,3.68,11.25
1,2009,June,51.85,22.30,6.04,19.81
3,2009,June,52.31,31.81,3.92,11.96
4,2009,June,54.01,27.26,3.89,14.84
10,2009,June,70.69,16.52,2.66,10.12
5,2009,June,60.41,17.63,2.50,19.45
7,2009,June,63.50,21.27,2.71,12.51
,2009,June,42.00,20.00,2.00,36.00
1,2009,July,51.07,28.99,5.73,14.22
4,2009,July,53.00,29.36,3.94,13.70
3,2009,July,52.73,31.60,4.97,10.70
2,2009,July,63.89,20.50,2.91,12.70
5,2009,July,63.24,19.33,3.05,14.39
8,2009,July,69.79,16.49,2.08,11.63
,2009,July,44.26,18.03,4.92,32.79
7,2009,July,66.67,18.72,2.80,11.81
9,2009,July,48.67,36.77,1.54,13.02
10,2009,July,69.98,19.90,2.40,7.72
6,2009,July,65.09,18.34,3.35,13.21
2,2009,August,59.97,20.32,2.91,16.79
3,2009,August,49.19,34.80,4.52,11.50
4,2009,August,49.52,29.87,3.89,16.72
9,2009,August,45.52,38.81,1.33,14.34
1,2009,August,51.74,28.02,5.04,15.20
10,2009,August,72.25,15.40,2.71,9.64
8,2009,August,60.24,19.47,1.83,18.46
5,2009,August,62.01,19.37,2.38,16.23
6,2009,August,60.59,22.03,2.54,14.83
7,2009,August,62.56,19.79,3.59,14.05
3,2009,September,53.76,32.53,3.86,9.85
4,2009,September,54.64,29.44,3.71,12.20
1,2009,September,53.81,27.71,5.87,12.61
2,2009,September,61.56,22.62,2.30,13.52
9,2009,September,50.16,34.90,1.16,13.79
8,2009,September,63.51,18.02,1.80,16.67
7,2009,September,62.11,24.12,2.64,11.12
10,2009,September,71.93,16.96,2.34,8.77
5,2009,September,60.02,21.40,2.49,16.08
6,2009,September,61.56,21.46,3.30,13.68
6,2009,October,60.19,22.69,3.47,13.66
4,2009,October,53.64,29.18,3.69,13.48
9,2009,October,53.81,32.70,1.22,12.27
2,2009,October,61.19,23.37,2.39,13.05
1,2009,October,52.34,28.18,5.58,13.90
3,2009,October,52.81,32.29,3.80,11.10
10,2009,October,69.98,19.47,1.42,9.13
7,2009,October,67.05,19.52,1.99,11.44
5,2009,October,60.90,21.36,2.03,15.71
8,2009,October,66.93,16.83,2.20,14.03
,2009,October,42.37,16.95,5.08,35.59
,2009,May,58.54,8.54,2.44,30.49
9,2009,November,53.31,30.98,1.28,14.42
1,2009,November,51.19,30.22,5.08,13.51
4,2009,November,51.12,29.71,3.64,15.53
8,2009,November,69.86,14.84,2.51,12.79
6,2009,November,58.53,21.66,2.76,17.05
7,2009,November,62.07,19.02,3.66,15.26
2,2009,November,56.81,24.40,2.49,16.30
3,2009,November,55.24,30.63,3.89,10.23
5,2009,November,60.21,21.45,1.96,16.38
10,2009,November,68.43,16.67,3.73,11.18
,2009,November,30.77,36.54,3.85,28.85
4,2009,December,55.64,25.26,4.29,14.80
2,2009,December,59.05,19.62,2.51,18.82
5,2009,December,67.87,17.25,2.82,12.06
9,2009,December,55.29,28.82,1.65,14.24
1,2009,December,57.84,24.96,5.62,11.58
3,2009,December,56.69,30.14,3.32,9.85
6,2009,December,68.03,16.33,2.72,12.93
7,2009,December,62.33,21.34,3.42,12.91
10,2009,December,72.51,13.84,2.14,11.50
,2009,December,43.40,22.64,5.66,28.30
8,2009,December,69.40,18.76,0.91,10.93
3,2010,January,54.86,32.40,3.68,9.06
4,2010,January,54.65,28.07,3.70,13.57
6,2010,January,68.04,17.39,3.04,11.52
7,2010,January,65.76,20.56,3.34,10.33
2,2010,January,55.78,24.19,3.26,16.78
8,2010,January,61.04,22.97,3.60,12.39
1,2010,January,53.48,27.42,6.03,13.07
5,2010,January,62.39,19.75,4.40,13.46
9,2010,January,51.46,34.11,2.09,12.34
10,2010,January,73.09,16.63,1.75,8.53
,2010,January,37.50,37.50,NULL,25.00
3,2010,February,52.00,29.97,3.02,15.02
2,2010,February,60.32,19.26,3.58,16.84
4,2010,February,49.97,29.35,4.91,15.77
9,2010,February,51.40,31.24,1.88,15.48
8,2010,February,65.17,17.16,1.99,15.67
7,2010,February,67.22,20.64,2.83,9.32
5,2010,February,61.31,19.60,2.02,17.07
1,2010,February,53.40,25.52,5.12,15.96
6,2010,February,65.48,21.64,2.47,10.41
10,2010,February,70.19,19.25,4.23,6.34
,2010,February,34.21,21.05,2.63,42.11
3,2010,March,50.93,28.94,2.60,17.53
4,2010,March,52.06,26.82,3.30,17.83
8,2010,March,62.87,22.99,3.73,10.41
2,2010,March,52.93,24.54,4.02,18.52
1,2010,March,52.36,23.47,6.02,18.15
7,2010,March,64.70,21.22,3.73,10.35
9,2010,March,53.76,32.57,1.73,11.94
6,2010,March,66.59,20.71,3.34,9.35
5,2010,March,62.91,22.64,1.81,12.65
10,2010,March,71.40,20.18,1.93,6.49
,2010,March,23.26,37.21,2.33,37.21
1,2010,April,55.80,20.17,6.67,17.36
3,2010,April,50.24,31.23,3.19,15.35
7,2010,April,67.30,18.67,3.19,10.84
4,2010,April,55.25,22.62,3.93,18.20
2,2010,April,57.71,22.18,4.85,15.25
6,2010,April,66.94,21.77,2.02,9.27
10,2010,April,75.15,15.15,2.22,7.47
8,2010,April,65.23,21.12,2.62,11.03
5,2010,April,64.65,21.66,3.42,10.26
9,2010,April,54.04,31.74,1.82,12.40
,2010,April,33.33,20.83,NULL,45.83
2,2010,May,57.10,20.59,3.67,18.64
4,2010,May,52.84,23.94,4.50,18.72
1,2010,May,48.99,24.86,5.13,21.03
3,2010,May,47.46,32.47,2.64,17.43
6,2010,May,66.38,21.99,4.02,7.61
7,2010,May,63.59,20.43,2.31,13.68
5,2010,May,62.25,22.19,2.21,13.36
9,2010,May,50.77,33.15,1.75,14.33
8,2010,May,61.68,25.23,1.87,11.21
10,2010,May,69.27,18.55,2.73,9.45
3,2010,June,48.28,30.16,2.74,18.83
2,2010,June,56.71,18.31,3.17,21.81
5,2010,June,64.68,19.50,2.20,13.63
8,2010,June,65.14,21.71,0.76,12.38
4,2010,June,53.71,23.87,4.01,18.41
7,2010,June,66.47,18.93,2.42,12.19
6,2010,June,66.45,22.51,2.97,8.07
9,2010,June,50.95,32.80,2.16,14.09
1,2010,June,49.06,25.09,5.73,20.12
10,2010,June,69.31,19.21,2.30,9.19
,2010,June,39.22,25.49,5.88,29.41
4,2010,July,53.70,23.79,3.86,18.65
9,2010,July,51.25,33.25,1.40,14.10
1,2010,July,47.45,26.52,5.04,20.99
2,2010,July,56.76,16.92,3.24,23.08
3,2010,July,45.59,33.04,2.43,18.94
5,2010,July,64.95,18.28,2.15,14.62
7,2010,July,64.38,22.57,2.85,10.21
6,2010,July,62.86,23.67,3.27,10.20
8,2010,July,68.11,19.27,1.83,10.80
10,2010,July,66.93,19.64,2.20,11.22
,2009,September,39.62,16.98,3.77,39.62
3,2010,August,43.12,32.16,2.75,21.96
7,2010,August,64.05,22.14,3.62,10.19
1,2010,August,47.03,26.08,5.20,21.68
